id,short_name,name,lat centre,lon centre,lwl_data,lwe_data,lswt_data,lic_data,lwlr_data
300012455,HYLA00012455,Hrnindalsvatnet,61.9542,6.4125,False,False,True,True,True
300012472,HYLA00012472,None,61.7875,32.9875,False,False,True,True,True
300012482,HYLA00012482,None,61.8042,16.7292,False,False,True,True,True
300012491,HYLA00012491,None,61.7347,38.0764,False,False,True,True,True
300012507,HYLA00012507,None,61.5458,32.7486,False,False,True,True,True
300012591,HYLA00012591,None,61.1042,76.7375,False,False,True,True,True
300012614,HYLA00012614,None,61.0181,26.4847,False,False,True,True,True
300012628,HYLA00012628,None,60.9208,26.4292,False,False,True,True,True
300012639,HYLA00012639,None,60.8542,65.2208,False,False,True,True,True
300012654,HYLA00012654,None,60.8014,30.1847,False,False,True,True,True
300012749,HYLA00012749,None,60.3292,55.2625,False,False,True,True,True
300012760,HYLA00012760,None,60.2125,68.3708,False,False,True,True,True
300012813,HYLA00012813,Mosvatn,59.8764,8.0292,False,False,True,True,True
300012874,HYLA00012874,None,59.4375,143.9208,False,False,True,True,True
300012879,HYLA00012879,None,59.3458,12.2292,False,False,True,True,True
300012886,HYLA00012886,None,59.3542,67.0292,False,False,True,True,True
300012946,HYLA00012946,None,58.7792,42.6125,False,False,True,True,True
300012969,HYLA00012969,None,58.4208,42.3681,False,False,True,True,True
300013003,HYLA00013003,None,57.9097,12.4486,False,False,True,True,True
300013032,HYLA00013032,None,57.4458,33.3708,False,False,True,True,True
300013035,HYLA00013035,None,57.4542,27.0875,False,False,True,True,True
300013043,HYLA00013043,Rusken,57.2875,14.3458,False,False,True,True,True
300013070,HYLA00013070,Vidöstern,57.0125,13.9792,True,False,True,True,True
300013091,HYLA00013091,None,56.7625,38.7875,False,False,True,True,True
300013104,HYLA00013104,None,56.6597,14.2097,True,False,True,True,True
300013112,HYLA00013112,None,56.5625,27.6042,False,False,True,True,True
300013120,HYLA00013120,None,56.4208,14.8625,False,False,True,True,True
300013141,HYLA00013141,None,56.1458,161.7986,False,False,True,True,True
300013149,HYLA00013149,None,56.1292,28.4375,False,False,True,True,True
300013156,HYLA00013156,None,56.0708,14.4042,False,False,True,True,True
300013159,HYLA00013159,None,56.0458,28.1792,False,False,True,True,True
300013161,HYLA00013161,None,56.0653,31.2708,False,False,True,True,True
300013166,HYLA00013166,None,56.0208,27.3292,False,False,True,True,True
300013175,HYLA00013175,None,55.9792,14.2208,False,False,True,True,True
300013176,HYLA00013176,None,55.9208,60.7958,False,False,True,True,True
300013178,HYLA00013178,None,55.8958,13.4625,False,False,True,True,True
300013182,HYLA00013182,Östra Ringsjön,55.8625,13.5542,False,False,True,True,True
300013184,HYLA00013184,None,55.8708,23.3042,False,False,True,True,True
300013186,HYLA00013186,None,55.8875,35.0542,False,False,True,True,True
300013193,HYLA00013193,None,55.8292,30.3875,False,False,True,True,True
300013196,HYLA00013196,None,55.7625,61.5458,False,False,True,True,True
300013214,HYLA00013214,None,55.6625,61.0542,False,False,True,True,True
300013241,HYLA00013241,None,55.5792,11.2875,False,False,True,True,True
300013242,HYLA00013242,None,55.5625,89.5792,False,False,True,True,True
